Unique_Sample_ID,Condition_Name,t#,pH,buffer,nucleoside,concentrations,Data_File,Well_Number,Time_Point,Blank_Unique_Sample_ID,Total_Concentration,Wavelength_Start,Wavelength_End,Isosbestic_Point,Reference_Spectrum_Substrate,Reference_Spectrum_Product,Replicate
uid10,x32,t9,7.4,universal mix,uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG9/2024-09-01-x32-t9-12.tsv,Abs,25,2024-09-01-x33-4,1,240,349,271,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
uid11,x32,t10,7.4,universal mix,uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG9/2024-09-01-x32-t10-30.tsv,Abs,64,2024-09-01-x33-4,1,240,349,271,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
uid111,x32,t10,7.4,universal mix,uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG10/2024-09-01-RTG10-x32-t11-15.tsv,Abs,157,2024-09-01-x33-4,1,240,349,271,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
,,,,,,,,,,,,,,,,,
uid12,x35,t0,7.4,"universal mix, 1:1 diluted with water",uridine,1 mM nucleoside; 5 mM phosphate,./lab-data-processed/cary300/2024-09/RTG9/2024-09-01-x35-t0-13.tsv,Abs,0.33,2024-09-01-x33-4,1,240,349,271,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
uid13,x35,t1,7.4,"universal mix, 1:1 diluted with water",uridine,1 mM nucleoside; 5 mM phosphate,./lab-data-processed/cary300/2024-09/RTG9/2024-09-01-x35-t1-14.tsv,Abs,1.1,2024-09-01-x33-4,1,240,349,271,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
uid14,x35,t2,7.4,"universal mix, 1:1 diluted with water",uridine,1 mM nucleoside; 5 mM phosphate,./lab-data-processed/cary300/2024-09/RTG9/2024-09-01-x35-t2-15.tsv,Abs,2,2024-09-01-x33-4,1,240,349,271,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
uid15,x35,t3,7.4,"universal mix, 1:1 diluted with water",uridine,1 mM nucleoside; 5 mM phosphate,./lab-data-processed/cary300/2024-09/RTG9/2024-09-01-x35-t3-16.tsv,Abs,3,2024-09-01-x33-4,1,240,349,271,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
uid16,x35,t4,7.4,"universal mix, 1:1 diluted with water",uridine,1 mM nucleoside; 5 mM phosphate,./lab-data-processed/cary300/2024-09/RTG9/2024-09-01-x35-t4-17.tsv,Abs,5,2024-09-01-x33-4,1,240,349,271,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
uid17,x35,t5,7.4,"universal mix, 1:1 diluted with water",uridine,1 mM nucleoside; 5 mM phosphate,./lab-data-processed/cary300/2024-09/RTG9/2024-09-01-x35-t5-18.tsv,Abs,10.2,2024-09-01-x33-4,1,240,349,271,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
uid18,x35,t6,7.4,"universal mix, 1:1 diluted with water",uridine,1 mM nucleoside; 5 mM phosphate,./lab-data-processed/cary300/2024-09/RTG9/2024-09-01-x35-t6-19.tsv,Abs,15,2024-09-01-x33-4,1,240,349,271,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
uid19,x35,t7,7.4,"universal mix, 1:1 diluted with water",uridine,1 mM nucleoside; 5 mM phosphate,./lab-data-processed/cary300/2024-09/RTG9/2024-09-01-x35-t7-28.tsv,Abs,27.2,2024-09-01-x33-4,1,240,349,271,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
,,,,,,,,,,,,,,,,,
uid20,x36,t0,7.4,"universal mix, 1:1 diluted with 1M KCl",uridine,1 mM nucleoside; 5 mM phosphate,./lab-data-processed/cary300/2024-09/RTG9/2024-09-01-x36-t0-21.tsv,Abs,0.33,2024-09-01-x33-4,1,240,349,271,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
uid21,x36,t1,7.4,"universal mix, 1:1 diluted with 1M KCl",uridine,1 mM nucleoside; 5 mM phosphate,./lab-data-processed/cary300/2024-09/RTG9/2024-09-01-x36-t1-22.tsv,Abs,1.1,2024-09-01-x33-4,1,240,349,271,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
uid22,x36,t2,7.4,"universal mix, 1:1 diluted with 1M KCl",uridine,1 mM nucleoside; 5 mM phosphate,./lab-data-processed/cary300/2024-09/RTG9/2024-09-01-x36-t2-23.tsv,Abs,2,2024-09-01-x33-4,1,240,349,271,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
uid23,x36,t3,7.4,"universal mix, 1:1 diluted with 1M KCl",uridine,1 mM nucleoside; 5 mM phosphate,./lab-data-processed/cary300/2024-09/RTG9/2024-09-01-x36-t3-24.tsv,Abs,3,2024-09-01-x33-4,1,240,349,271,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
uid24,x36,t4,7.4,"universal mix, 1:1 diluted with 1M KCl",uridine,1 mM nucleoside; 5 mM phosphate,./lab-data-processed/cary300/2024-09/RTG9/2024-09-01-x36-t4-25.tsv,Abs,5,2024-09-01-x33-4,1,240,349,271,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
uid25,x36,t5,7.4,"universal mix, 1:1 diluted with 1M KCl",uridine,1 mM nucleoside; 5 mM phosphate,./lab-data-processed/cary300/2024-09/RTG9/2024-09-01-x36-t5-26.tsv,Abs,10.2,2024-09-01-x33-4,1,240,349,271,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
uid26,x36,t6,7.4,"universal mix, 1:1 diluted with 1M KCl",uridine,1 mM nucleoside; 5 mM phosphate,./lab-data-processed/cary300/2024-09/RTG9/2024-09-01-x36-t6-27.tsv,Abs,15,2024-09-01-x33-4,1,240,349,271,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
uid27,x36,t7,7.4,"universal mix, 1:1 diluted with 1M KCl",uridine,1 mM nucleoside; 5 mM phosphate,./lab-data-processed/cary300/2024-09/RTG9/2024-09-01-x36-t7-29.tsv,Abs,27.2,2024-09-01-x33-4,1,240,349,271,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uridine-x24-x33.csv,./lab-data-reference-spectra/2024-09-01-RTG8-reference-uracil-x25-x33.csv,1
