Unique_Sample_ID,Condition_Name,t#,pH,buffer,nucleoside,concentrations,Data_File,Well_Number,Time_Point,Blank_Unique_Sample_ID,Total_Concentration,Wavelength_Start,Wavelength_End,Isosbestic_Point,Reference_Spectrum_Substrate,Reference_Spectrum_Product,Replicate
blank,blank,,,,,,./lab-data-processed/cary300/2024-09/RTG12/2024-09-05-RTG12-blank-x33-3.tsv,Abs,,,1,240,349,271,./lab-data-reference-spectra/reference-uridine-x24-x33.csv,./lab-data-reference-spectra/reference-uracil-x25-x33.csv,1
uid11,"x45, pH 9",t10,9,"universal mix, pH adjusted to 9",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG12/2024-09-05-RTG12-x45-t10-42.tsv,Abs,49.1,blank,1,240,349,271,./lab-data-reference-spectra/reference-uridine-x24-x33.csv,./lab-data-reference-spectra/reference-uracil-x25-x33.csv,1
uid12,"x45, pH 9",t11,9,"universal mix, pH adjusted to 9",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG12/2024-09-05-RTG12-x45-t11-47.tsv,Abs,50,blank,1,240,349,271,./lab-data-reference-spectra/reference-uridine-x24-x33.csv,./lab-data-reference-spectra/reference-uracil-x25-x33.csv,1
uid13,"x46, pH 6",t0,6,"universal mix, pH adjusted to 6",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG12/2024-09-05-RTG12-x46-t0-12.tsv,Abs,0.2,blank,1,240,349,271,./lab-data-reference-spectra/reference-uridine-x24-x33.csv,./lab-data-reference-spectra/reference-uracil-x25-x33.csv,1
uid14,"x46, pH 6",t1,6,"universal mix, pH adjusted to 6",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG12/2024-09-05-RTG12-x46-t1-15.tsv,Abs,1.2,blank,1,240,349,271,./lab-data-reference-spectra/reference-uridine-x24-x33.csv,./lab-data-reference-spectra/reference-uracil-x25-x33.csv,1
uid15,"x46, pH 6",t2,6,"universal mix, pH adjusted to 6",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG12/2024-09-05-RTG12-x46-t2-18.tsv,Abs,2,blank,1,240,349,271,./lab-data-reference-spectra/reference-uridine-x24-x33.csv,./lab-data-reference-spectra/reference-uracil-x25-x33.csv,1
uid16,"x46, pH 6",t3,6,"universal mix, pH adjusted to 6",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG12/2024-09-05-RTG12-x46-t3-21.tsv,Abs,3,blank,1,240,349,271,./lab-data-reference-spectra/reference-uridine-x24-x33.csv,./lab-data-reference-spectra/reference-uracil-x25-x33.csv,1
uid17,"x46, pH 6",t4,6,"universal mix, pH adjusted to 6",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG12/2024-09-05-RTG12-x46-t4-25.tsv,Abs,4,blank,1,240,349,271,./lab-data-reference-spectra/reference-uridine-x24-x33.csv,./lab-data-reference-spectra/reference-uracil-x25-x33.csv,1
uid18,"x46, pH 6",t5,6,"universal mix, pH adjusted to 6",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG12/2024-09-05-RTG12-x46-t5-28.tsv,Abs,6,blank,1,240,349,271,./lab-data-reference-spectra/reference-uridine-x24-x33.csv,./lab-data-reference-spectra/reference-uracil-x25-x33.csv,1
uid19,"x46, pH 6",t6,6,"universal mix, pH adjusted to 6",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG12/2024-09-05-RTG12-x46-t6-31.tsv,Abs,10,blank,1,240,349,271,./lab-data-reference-spectra/reference-uridine-x24-x33.csv,./lab-data-reference-spectra/reference-uracil-x25-x33.csv,1
uid20,"x46, pH 6",t7,6,"universal mix, pH adjusted to 6",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG12/2024-09-05-RTG12-x46-t7-34.tsv,Abs,16,blank,1,240,349,271,./lab-data-reference-spectra/reference-uridine-x24-x33.csv,./lab-data-reference-spectra/reference-uracil-x25-x33.csv,1
uid21,"x46, pH 6",t9,6,"universal mix, pH adjusted to 6",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG12/2024-09-05-RTG12-x46-t9-40.tsv,Abs,49,blank,1,240,349,271,./lab-data-reference-spectra/reference-uridine-x24-x33.csv,./lab-data-reference-spectra/reference-uracil-x25-x33.csv,1
uid22,"x46, pH 6",t10,6,"universal mix, pH adjusted to 6",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG12/2024-09-05-RTG12-x46-t10-45.tsv,Abs,49.1,blank,1,240,349,271,./lab-data-reference-spectra/reference-uridine-x24-x33.csv,./lab-data-reference-spectra/reference-uracil-x25-x33.csv,1
uid23,"x46, pH 6",t11,6,"universal mix, pH adjusted to 6",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG12/2024-09-05-RTG12-x46-t11-48.tsv,Abs,50,blank,1,240,349,271,./lab-data-reference-spectra/reference-uridine-x24-x33.csv,./lab-data-reference-spectra/reference-uracil-x25-x33.csv,1
uid24,"x47, pH 8",t0,8,"universal mix, pH adjusted to 8",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG12/2024-09-05-RTG12-x47-t0-13.tsv,Abs,0.2,blank,1,240,349,271,./lab-data-reference-spectra/reference-uridine-x24-x33.csv,./lab-data-reference-spectra/reference-uracil-x25-x33.csv,1
uid25,"x47, pH 8",t1,8,"universal mix, pH adjusted to 8",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG12/2024-09-05-RTG12-x47-t1-16.tsv,Abs,1.2,blank,1,240,349,271,./lab-data-reference-spectra/reference-uridine-x24-x33.csv,./lab-data-reference-spectra/reference-uracil-x25-x33.csv,1
uid26,"x47, pH 8",t2,8,"universal mix, pH adjusted to 8",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG12/2024-09-05-RTG12-x47-t2-19.tsv,Abs,2,blank,1,240,349,271,./lab-data-reference-spectra/reference-uridine-x24-x33.csv,./lab-data-reference-spectra/reference-uracil-x25-x33.csv,1
uid27,"x47, pH 8",t3,8,"universal mix, pH adjusted to 8",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG12/2024-09-05-RTG12-x47-t3-22.tsv,Abs,3,blank,1,240,349,271,./lab-data-reference-spectra/reference-uridine-x24-x33.csv,./lab-data-reference-spectra/reference-uracil-x25-x33.csv,1
uid28,"x47, pH 8",t4,8,"universal mix, pH adjusted to 8",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG12/2024-09-05-RTG12-x47-t4-26.tsv,Abs,4,blank,1,240,349,271,./lab-data-reference-spectra/reference-uridine-x24-x33.csv,./lab-data-reference-spectra/reference-uracil-x25-x33.csv,1
uid29,"x47, pH 8",t5,8,"universal mix, pH adjusted to 8",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG12/2024-09-05-RTG12-x47-t5-29.tsv,Abs,6,blank,1,240,349,271,./lab-data-reference-spectra/reference-uridine-x24-x33.csv,./lab-data-reference-spectra/reference-uracil-x25-x33.csv,1
uid30,"x47, pH 8",t6,8,"universal mix, pH adjusted to 8",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG12/2024-09-05-RTG12-x47-t6-32.tsv,Abs,10,blank,1,240,349,271,./lab-data-reference-spectra/reference-uridine-x24-x33.csv,./lab-data-reference-spectra/reference-uracil-x25-x33.csv,1
uid31,"x47, pH 8",t7,8,"universal mix, pH adjusted to 8",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG12/2024-09-05-RTG12-x47-t7-36.tsv,Abs,16,blank,1,240,349,271,./lab-data-reference-spectra/reference-uridine-x24-x33.csv,./lab-data-reference-spectra/reference-uracil-x25-x33.csv,1
uid32,"x47, pH 8",t8,8,"universal mix, pH adjusted to 8",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG12/2024-09-05-RTG12-x47-t8-38.tsv,Abs,25,blank,1,240,349,271,./lab-data-reference-spectra/reference-uridine-x24-x33.csv,./lab-data-reference-spectra/reference-uracil-x25-x33.csv,1
uid33,"x47, pH 8",t9,8,"universal mix, pH adjusted to 8",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG12/2024-09-05-RTG12-x47-t9-41.tsv,Abs,49,blank,1,240,349,271,./lab-data-reference-spectra/reference-uridine-x24-x33.csv,./lab-data-reference-spectra/reference-uracil-x25-x33.csv,1
uid34,"x47, pH 8",t10,8,"universal mix, pH adjusted to 8",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG12/2024-09-05-RTG12-x47-t10-46.tsv,Abs,49.1,blank,1,240,349,271,./lab-data-reference-spectra/reference-uridine-x24-x33.csv,./lab-data-reference-spectra/reference-uracil-x25-x33.csv,1
uid35,"x47, pH 8",t11,8,"universal mix, pH adjusted to 8",uridine,2 mM nucleoside; 10 mM phosphate,./lab-data-processed/cary300/2024-09/RTG12/2024-09-05-RTG12-x47-t11-49.tsv,Abs,50,blank,1,240,349,271,./lab-data-reference-spectra/reference-uridine-x24-x33.csv,./lab-data-reference-spectra/reference-uracil-x25-x33.csv,1
